INFO 2018-03-08 09:18:15,358 "GET /upload/product/derm%E6%97%A0%E5%BA%95%E8%89%B2_X887zue.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,359 "GET /upload/product/deep2_3EjmBHX.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,509 "GET /static/images/WORKING.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,512 "GET /static/images/skin_01.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,513 "GET /upload/product/subskin6_19Le2MB.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,522 "GET /static/images/skin_02.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,586 "GET /static/images/pic2.jpg HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,588 "GET /static/images/social.png HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,596 "GET /upload/cases/Forehead_4AHy8qi.jpg HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,598 "GET /upload/cases/Oral_week_TSxnL0c.jpg HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,604 "GET /upload/cases/Jaws_2aBzzXQ.jpg HTTP/1.1" 304 0
INFO 2018-03-08 09:18:15,609 "GET /upload/cases/lips_i8lNNQt.jpg HTTP/1.1" 304 0
WARNING 2018-03-08 09:18:15,690 "GET /favicon.ico HTTP/1.1" 404 3265
INFO 2018-03-08 09:40:10,089 "GET / HTTP/1.1" 200 19299
INFO 2018-03-08 09:40:10,140 "GET /static/css/popuo-box.css HTTP/1.1" 200 5944
INFO 2018-03-08 09:40:10,140 "GET /static/js/move-top.js HTTP/1.1" 200 1334
INFO 2018-03-08 09:40:10,141 "GET /static/js/numscroller-1.0.js HTTP/1.1" 200 3776
INFO 2018-03-08 09:40:10,145 "GET /static/js/easing.js HTTP/1.1" 200 4900
INFO 2018-03-08 09:40:10,148 "GET /static/js/case.js HTTP/1.1" 200 1906
INFO 2018-03-08 09:40:10,150 "GET /static/js/responsiveslides.min.js HTTP/1.1" 200 3405
INFO 2018-03-08 09:40:10,154 "GET /static/js/wow.min.js HTTP/1.1" 200 4777
INFO 2018-03-08 09:40:10,176 "GET /static/images/logo.png HTTP/1.1" 200 19758
